"Timestamp","Please tick the checkbox below as a way of providing informed consent for us to utilize your answers in the project.","What is your gender?","What is your field of study?","What is your year of study?","On a scale of 1-5, how would you rate the current state of mental health support at your university?","Have you ever utilized the mental health care services offered at your university?","If yes, how satisfied were you with the services offered?","What mental health challenges do you or your peers commonly face? (Pick the top three)","How comfortable do you feel discussing Mental Health issues with: [Friends]","How comfortable do you feel discussing Mental Health issues with: [Family]","How comfortable do you feel discussing Mental Health issues with: [University staff]","How comfortable do you feel discussing Mental Health issues with: [Professional counselors]","What barriers, if any, have you experienced in accessing mental health support? ","What methods or activities do you use to maintain your mental health?","How comfortable would you feel using a mental health companion software application powered by Artificial Intelligence?","What features would you find helpful in a mental health companion software application powered by Artificial Intelligence? (Select your top three)","What concerns, if any, would you have about using a mental health companion software application powered by Artificial Intelligence?","In your opinion, how can universities improve mental health support for students?","Any additional comments or suggestions regarding mental health support in universities?"
"2024/10/07 6:25:07 pm GMT+3","I give you my consent","Male","Bachelors of commerce ","2nd Year","3 - Fair","No","2 - Not Satisfied","Stress;Academic pressure;Financial concerns","Very uncomfortable","Very comfortable","Neutral","Very comfortable","Limited availability of counselors;Financial constraints","Meditation or mindfulness;Therapy or counseling","5 - Very Comfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","Somehow informative ","Conducting career guidance seminars","Improve on everything "
"2024/10/07 6:26:18 pm GMT+3","I give you my consent","Female","Accounts ","2nd Year","4 - Good","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Exercise;Social support","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Available resources should be known to everyone in university ","Noo"
"2024/10/07 6:28:24 pm GMT+3","I give you my consent","Female","Business ","2nd Year","2 - Poor","No","3 - Neutral","Stress;Anxiety;Academic pressure","Somewhat comfortable","Very comfortable","Somewhat comfortable","Somewhat comfortable","Long wait times","Social support","1 - Very Uncomfortable","Meditation and mindfulness exercises;Connection to professional help when needed;Anonymous peer support","Privacy","Talk to the counselor ","Should be improved "
"2024/10/07 6:31:56 pm GMT+3","I give you my consent","Male","Business ","2nd Year","4 - Good","No","","Stress;Depression;Financial concerns","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Financial constraints","Exercise;Meditation or mindfulness","1 - Very Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Use of AI",""
"2024/10/07 6:37:44 pm GMT+3","I give you my consent","Male","Business related","2nd Year","3 - Fair","No","","Stress;Anxiety;Depression","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Long wait times","Exercise","1 - Very Uncomfortable","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed","Incorrect mental health information","By engaging more in counseling them","They should encourage students more in activities than keep them engaged "
"2024/10/07 6:40:20 pm GMT+3","I give you my consent","Female","Business related","2nd Year","2 - Poor","No","","Stress;Academic pressure;Financial concerns","Very comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Social support","2 - Somewhat Uncomfortable","Daily mood tracking;Personalized coping strategies;Educational resources on mental health","Incorrect mental health information","Provide various counseling sessions ","There is a lot of academic stress in university which needs serious attention like counseling "
"2024/10/07 6:41:30 pm GMT+3","I give you my consent","Female","Business related","2nd Year","4 - Good","Yes","3 - Neutral","Stress;Anxiety;Academic pressure","Somewhat uncomfortable","Neutral","Very uncomfortable","Very comfortable","Long wait times;Financial constraints","Meditation or mindfulness","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Educational resources on mental health","Privacy","Through providing more medical facility per college ","The university should provide more accessible medications to the students "
"2024/10/07 6:46:21 pm GMT+3","I give you my consent","Male","Business related","2nd Year","2 - Poor","Yes","2 - Not Satisfied","Academic pressure;Financial concerns;Fear ","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Financial constraints","Exercise","3 - Neutral","Anonymous peer support;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Lecturers should help students suffering with mental health issues.","The university should provide adequate counselling for students"
"2024/10/07 6:53:24 pm GMT+3","I give you my consent","Female","Law","1st Year","3 - Fair","Yes","3 - Neutral","Stress;Depression;Academic pressure","Somewhat comfortable","Somewhat comfortable","Neutral","Neutral","Lack of awareness about available resources","Social support","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","Sensitization  about it and resources available","Fair though improvement is on personal basis"
"2024/10/07 6:59:09 pm GMT+3","I give you my consent","Female","Law","1st Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Somewhat comfortable","Very comfortable","Neutral","Very comfortable","Limited availability of counselors","Social support","3 - Neutral","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support","Incorrect mental health information","Engaging students probably every once in a month about mental health awareness","Students tend to shy away, so maybe they can be engaged as a group to seek mental health support instead of being pushed to go alone"
"2024/10/07 7:00:06 pm GMT+3","I give you my consent","Female","Law","1st Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Very comfortable","Somewhat comfortable","Somewhat uncomfortable","Neutral","Stigma surrounding mental health","Exercise;Meditation or mindfulness;Social support","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy","Universities should create more awareness about mental health and make the student comfortable sharing how they feel, we need counsellors at every college",""
"2024/10/07 7:00:28 pm GMT+3","I give you my consent","Female","Law","1st Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Neutral","Neutral","Stigma surrounding mental health","Social support","3 - Neutral","Personalized coping strategies;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Making them accessible and informing students about them","It’s easier using AI than talking to a fellow because of privacy issues "
"2024/10/07 7:05:31 pm GMT+3","I give you my consent","Male","Natural Sciences","2nd Year","2 - Poor","No","","Stress;Loneliness;Academic pressure","Very comfortable","Very comfortable","Somewhat uncomfortable","Neutral","Lack of awareness about available resources","Exercise","4 - Somewhat Comfortable","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support","Privacy;Incorrect mental health information","Do more.","Keep up the good work."
"2024/10/07 7:07:17 pm GMT+3","I give you my consent","Female","Business related","2nd Year","1 - Very poor","No","","Stress;Anxiety;Academic pressure","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Stigma surrounding mental health","Exercise","1 - Very Uncomfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Privacy;Incorrect mental health information","They should first of all make increase mental health awareness","No"
"2024/10/07 7:17:36 pm GMT+3","I give you my consent","Male","Education ","2nd Year","3 - Fair","No","","Stress;Depression;Academic pressure","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Exercise","5 - Very Comfortable","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy","Through effective communication ",""
"2024/10/07 7:18:18 pm GMT+3","I give you my consent","Female","Education ","2nd Year","3 - Fair","No","3 - Neutral","Anxiety;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Social support","5 - Very Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Data","Reaching out to students ","It is a vital issue that needs to be adressed"
"2024/10/07 7:19:07 pm GMT+3","I give you my consent","Male","Education","2nd Year","3 - Fair","No","3 - Neutral","Depression;Loneliness;Academic pressure","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very comfortable","Long wait times;Stigma surrounding mental health;Lack of awareness about available resources","Social support","2 - Somewhat Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Incorrect mental health information","Through providing counselling units",""
"2024/10/07 7:19:16 pm GMT+3","I give you my consent","Female","Education","2nd Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Very comfortable","Lack of awareness about available resources","Exercise","5 - Very Comfortable","Personalized coping strategies;Anonymous peer support;Educational resources on mental health","Incorrect mental health information","Spread awareness about mental health issues
Create a platform  where people freely express themselves  with regard to mental health problems.","I think the anonymous peer group support is a brilliant  idea."
"2024/10/07 7:19:36 pm GMT+3","I give you my consent","Female","Arts with Education ","2nd Year","3 - Fair","Yes","1 - Disappointed","Stress;Anxiety;Depression","Somewhat comfortable","Very comfortable","Somewhat uncomfortable","Very uncomfortable","Limited availability of counselors","Therapy or counseling","2 - Somewhat Uncomfortable","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy","Guidance and counselling ","Taking children to rehab "
"2024/10/07 7:20:07 pm GMT+3","I give you my consent","Male","BAED","2nd Year","4 - Good","No","3 - Neutral","Stress;Academic pressure;Financial concerns","Very comfortable","Somewhat uncomfortable","Very uncomfortable","Very comfortable","Limited availability of counselors","Exercise","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Anonymous peer support","Privacy","Encouraging mental health care to students even through this software","It should be emphasized at every college"
"2024/10/07 7:20:20 pm GMT+3","I give you my consent","Female","Arts in education ","2nd Year","2 - Poor","No","2 - Not Satisfied","Stress;Academic pressure;Financial concerns","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources","Meditation or mindfulness","2 - Somewhat Uncomfortable","Personalized coping strategies;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","By publicizing the mental health support resources....( In other words bringing them close to the people/students)","I guess it's all said "
"2024/10/07 7:22:21 pm GMT+3","I give you my consent","Male","Education ","2nd Year","4 - Good","Yes","4 - Satisfied","Stress;Depression;Academic pressure","Somewhat comfortable","Somewhat comfortable","Neutral","Somewhat comfortable","Limited availability of counselors","Social support","3 - Neutral","Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","By creating platforms that offer mental health support freely ",""
"2024/10/07 7:24:27 pm GMT+3","I give you my consent","Male","Education ","2nd Year","4 - Good","Yes","3 - Neutral","Anxiety;Academic pressure;Financial concerns","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Limited availability of counselors","Social support","3 - Neutral","Personalized coping strategies;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","Offering free guidance and counselling to students and any given time of need.","Students and any other vulnerable people should seek counselling to overcome such dilemmas."
"2024/10/07 7:30:13 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","1st Year","2 - Poor","No","","Stress;Anxiety;Academic pressure","Neutral","Very uncomfortable","Somewhat comfortable","Very comfortable","Limited availability of counselors;Financial constraints;Accessibility ","Exercise","1 - Very Uncomfortable","Connection to professional help when needed;Anonymous peer support;Trained A.I chat bot to communicate with","Incorrect mental health information","Making it more available ","More available more private "
"2024/10/07 7:31:08 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","1st Year","3 - Fair","No","","Stress;Depression;Academic pressure","Neutral","Neutral","Very uncomfortable","Neutral","Stigma surrounding mental health","Exercise;Spending quality time with friends and watching a movie or serie occasionally ","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy","",""
"2024/10/07 7:39:44 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","3 - Fair","No","","Depression;Academic pressure;Financial concerns","Very comfortable","Very comfortable","Neutral","Neutral","Lack of awareness about available resources;Financial constraints","Exercise","3 - Neutral","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","","Resource utilization and counselling sessions","It should be worked upon "
"2024/10/07 7:41:01 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","4 - Good","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Very comfortable","Neutral","Neutral","Limited availability of counselors","Exercise;Meditation or mindfulness","3 - Neutral","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","Privacy","By dedicating mental health awareness throughout campus","The university should improve on stressors"
"2024/10/07 7:41:54 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Somewhat uncomfortable","Neutral","Very uncomfortable","Neutral","Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","4 - Somewhat Comfortable","Meditation and mindfulness exercises;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Creating more exercise programs to relieve classroom stress","Very useful to be implemented "
"2024/10/07 7:44:27 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat comfortable","Very uncomfortable","Somewhat comfortable","Stigma surrounding mental health","Exercise;Social support;Games","4 - Somewhat Comfortable","Connection to professional help when needed;Anonymous peer support;Educational resources on mental health","Privacy;Incorrect mental health information","Breaking barriers to communication between the students and the administration","Some students are in blind alleys, and actually have no one to reach out to them. And they never disclose their hurdles to anyone. Do something."
"2024/10/07 7:44:44 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","1st Year","2 - Poor","No","","Stress;Anxiety;Depression","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Limited availability of counselors","Exercise;Social support","3 - Neutral","Daily mood tracking;Meditation and mindfulness exercises;Anonymous peer support","Privacy","Support groups like those that they give people who are addicted","No"
"2024/10/07 7:45:56 pm GMT+3","I give you my consent","Male","Agriculture and Environmental Studies","2nd Year","1 - Very poor","No","","Depression;Academic pressure;Financial concerns","Somewhat uncomfortable","Very comfortable","Somewhat comfortable","Very comfortable","Lack of awareness about available resources","Exercise","1 - Very Uncomfortable","Personalized coping strategies;Connection to professional help when needed;Educational resources on mental health","Privacy","Sessions should be brought up to make students aware of their mental awareness ",""
"2024/10/07 7:58:58 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","3rd Year","2 - Poor","No","3 - Neutral","Loneliness;Academic pressure;Financial concerns","Somewhat comfortable","Very comfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","2 - Somewhat Uncomfortable","Personalized coping strategies;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","By creating awareness about mental health and the available support systems and making mental health services accessible ","The university should sensitize students about mental health "
"2024/10/07 8:04:14 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","3rd Year","4 - Good","No","","Stress;Academic pressure;Financial concerns","Neutral","Somewhat comfortable","Neutral","Very comfortable","Limited availability of counselors;Financial constraints","Social support","4 - Somewhat Comfortable","Connection to professional help when needed;Anonymous peer support;Educational resources on mental health","Privacy","Carrying out mental health sessions at least every month on every college. And creating awareness to our lecturers on what some students go through.","Mental health is a key support to education. "
"2024/10/07 8:04:38 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","3rd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Financial constraints","Exercise;Social support","3 - Neutral","Connection to professional help when needed;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy","Counselling",""
"2024/10/07 8:04:53 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","3rd Year","2 - Poor","No","","Anxiety;Depression;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","2 - Somewhat Uncomfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Incorrect mental health information","Encourage students to do peer to peer awareness ","It should be prioritised at the  university and create a department "
"2024/10/07 8:08:44 pm GMT+3","I give you my consent","Female","Agriculture and Environmental Studies","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Neutral","Somewhat uncomfortable","Somewhat comfortable","Lack of awareness about available resources","Meditation or mindfulness","2 - Somewhat Uncomfortable","Personalized coping strategies;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","",""
"2024/10/08 11:02:15 am GMT+3","I give you my consent","Male","Business related","2nd Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Very uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Neutral","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Social support","1 - Very Uncomfortable","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed","Privacy","Creating awareness among students and extending such services to students with ease",""
"2024/10/08 12:19:58 pm GMT+3","I give you my consent","Male","Natural Sciences","2nd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Neutral","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Lack of awareness about available resources","Social support","3 - Neutral","Meditation and mindfulness exercises;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","",""
"2024/10/08 1:23:56 pm GMT+3","I give you my consent","Male","Business related","2nd Year","2 - Poor","No","","Loneliness;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat comfortable","Limited availability of counselors;Lack of awareness about available resources","Exercise;Meditation or mindfulness","3 - Neutral","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed","Privacy;Incorrect mental health information","consequent organization of career talk with the professional",""
"2024/10/08 2:32:39 pm GMT+3","I give you my consent","Female","Statistics ","2nd Year","3 - Fair","No","","Anxiety;Depression;Academic pressure","Very comfortable","Somewhat comfortable","Neutral","Neutral","Lack of awareness about available resources","Prayer","3 - Neutral","Personalized coping strategies;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy","",""
"2024/10/10 7:58:10 pm GMT+3","I give you my consent","Male","Business related","3rd Year","4 - Good","Yes","4 - Satisfied","Stress;Anxiety;Academic pressure","Very comfortable","Neutral","Neutral","Somewhat comfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy","Employing more professional counselors to handle the large number of students dealing with mental health issues.

Encouraging students to participate in various co-curricular activities to relieve themselves of the stress and academic pressure. ",""
"2024/10/10 9:23:26 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","4th Year","3 - Fair","No","","Stress;Anxiety;Depression","Very comfortable","Very comfortable","Neutral","Very comfortable","Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise;Meditation or mindfulness;Therapy or counseling;Social support","3 - Neutral","Personalized coping strategies;Meditation and mindfulness exercises;Connection to professional help when needed","Privacy;Incorrect mental health information","",""
"2024/10/10 9:29:33 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","4th Year","1 - Very poor","No","","Stress;Academic pressure;Financial concerns","Very comfortable","Very comfortable","Somewhat comfortable","Very comfortable","Lack of awareness about available resources","Exercise;Social support","5 - Very Comfortable","Personalized coping strategies;Connection to professional help when needed;Anonymous peer support","Privacy","",""
"2024/10/12 5:28:20 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","3rd Year","3 - Fair","No","","Depression;Academic pressure;Financial concerns","Very comfortable","Very comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","2 - Somewhat Uncomfortable","Personalized coping strategies;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","",""
"2024/10/12 5:31:12 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","3rd Year","3 - Fair","No","","Depression;Academic pressure;Financial concerns","Very comfortable","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Long wait times","Exercise","5 - Very Comfortable","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy","By encouraging people to work out ","No"
"2024/10/12 5:35:54 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","3rd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Neutral","Very comfortable","Somewhat comfortable","Very uncomfortable","Long wait times;Lack of awareness about available resources","Exercise","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Educational resources on mental health","Privacy","Sensitisation ","This could help students improve mentally"
"2024/10/12 5:37:53 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","3rd Year","3 - Fair","Yes","3 - Neutral","Stress;Academic pressure;Financial concerns","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Long wait times","Exercise","3 - Neutral","Personalized coping strategies;Meditation and mindfulness exercises;Anonymous peer support","Privacy;Incorrect mental health information","Involving students in fun peer activities like movie nights and coffee meet and greets","None"
"2024/10/12 5:38:45 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","3rd Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Somewhat uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Meditation and mindfulness exercises;Educational resources on mental health;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Make it easily accessible to students from anywhere","Not really "
"2024/10/12 5:44:14 pm GMT+3","I give you my consent","Female","Business related","3rd Year","2 - Poor","No","","Stress;Depression;Academic pressure","Very comfortable","Very uncomfortable","Neutral","Very comfortable","Not provided.","Meditation or mindfulness;Social support","3 - Neutral","Daily mood tracking;Personalized coping strategies;Connection to professional help when needed","Privacy","Making it more accessible, presenting it more healthier ways which would be welcoming. 
Having activities that would bring others together. ",""
"2024/10/12 5:46:52 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","1 - Very poor","No","","Anxiety;Loneliness;Academic pressure","Very uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Exercise","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Anonymous peer support","Privacy;Incorrect mental health information","Increasing the social activities",""
"2024/10/12 5:47:07 pm GMT+3","I give you my consent","Male","Engineering, Art & Design","2nd Year","3 - Fair","No","3 - Neutral","Stress;Anxiety;Depression","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources;Financial constraints","Exercise;Social support;","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Privacy;Incorrect mental health information","Avail avenues that ease access to the people in the know ",""
"2024/10/12 5:47:59 pm GMT+3","I give you my consent","Female","Information Technology (IT)","2nd Year","4 - Good","No","","Anxiety;Depression;Academic pressure","Neutral","Very uncomfortable","Very uncomfortable","Very uncomfortable","Financial constraints;","Therapy or counseling","3 - Neutral","Personalized coping strategies;Anonymous peer support;Educational resources on mental health","Privacy","",""
"2024/10/12 5:50:59 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","3rd Year","1 - Very poor","Yes","1 - Disappointed","Depression;Academic pressure;Financial concerns","Neutral","Very uncomfortable","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Nothing ","3 - Neutral","Daily mood tracking;Connection to professional help when needed;Educational resources on mental health","Privacy;Incorrect mental health information","Hire more professionals ",""
"2024/10/12 5:52:50 pm GMT+3","I give you my consent","Male","Natural Sciences","1st Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Very comfortable","Neutral","Neutral","None","Exercise;Meditation or mindfulness","4 - Somewhat Comfortable","Personalized coping strategies;Meditation and mindfulness exercises;Educational resources on mental health","Incorrect mental health information;Correct mental health information which may increase anxiety as no counseling may be considered prior to the availing of the information related to the mental health issue in topic ","Incorporating the mental health services on the students Portal ","Improved privacy but easy to reach services, I guess this Project is aiming at ensuring this "
"2024/10/12 5:54:06 pm GMT+3","I give you my consent","Female","Law","4th Year","2 - Poor","No","","Anxiety;Academic pressure;Financial concerns","Somewhat comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health;Lack of awareness about available resources","Social support","4 - Somewhat Comfortable","Daily mood tracking;Personalized coping strategies;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","Create safe spaces for opening up.","Do better."
"2024/10/12 5:57:16 pm GMT+3","I give you my consent","Female","Engineering, Art & Design","3rd Year","3 - Fair","No","","Stress;Academic pressure;Financial concerns","Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Exercise;Meditation or mindfulness;Social support","5 - Very Comfortable","Daily mood tracking;Anonymous peer support;Educational resources on mental health","Privacy","Creating awareness of the mental health support and counselors 
Also coming up with different clubs and committees that help students in different colleges","Mental health campaigns would be of great effect positively "
"2024/10/12 5:59:56 pm GMT+3","I give you my consent","Female","Health Sciences","3rd Year","3 - Fair","No","3 - Neutral","Depression;Academic pressure;Financial concerns","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Lack of awareness about available resources;Financial constraints","Sleep","2 - Somewhat Uncomfortable","Daily mood tracking;Personalized coping strategies;Anonymous peer support","Privacy;Incorrect mental health information","Making mental health support services free and available for all students",""
"2024/10/12 6:00:36 pm GMT+3","I give you my consent","Male","Health Sciences","3rd Year","3 - Fair","No","","Anxiety;Depression;Academic pressure","Very comfortable","Neutral","Very uncomfortable","Very uncomfortable","Stigma surrounding mental health","Music and movies","4 - Somewhat Comfortable","Daily mood tracking;Meditation and mindfulness exercises;Educational resources on mental health","Incorrect mental health information","Making services easily accessible and free","No"
"2024/10/12 6:01:12 pm GMT+3","I give you my consent","Female","Health Sciences","3rd Year","2 - Poor","No","","Stress;Depression;Academic pressure","Very comfortable","Very comfortable","Neutral","Neutral","Financial constraints","GOD","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Anonymous peer support","Privacy","Making services free of charge ","Nothing"
"2024/10/12 6:05:40 pm GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","4 - Good","No","2 - Not Satisfied","Depression;Loneliness;Academic pressure","Somewhat uncomfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Long wait times;Limited availability of counselors;Stigma surrounding mental health;Lack of awareness about available resources;Financial constraints","Exercise","5 - Very Comfortable","Daily mood tracking;Personalized coping strategies;Meditation and mindfulness exercises","Privacy","Offer mental support like make lectures more interesting than just teaching.So basically incorporate counselling with teaching.","More awareness should be created among the staff"
"2024/10/12 6:07:09 pm GMT+3","I give you my consent","Male","Information Technology (IT)","2nd Year","2 - Poor","No","","Stress;Depression;Academic pressure","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","Somewhat uncomfortable","Lack of awareness about available resources","Social support","5 - Very Comfortable","Daily mood tracking;Anonymous peer support;Trained A.I chat bot to communicate with","Privacy","By informing students about the mental health issues. Mostly we are not aware","It really affects people"
"2024/10/12 6:07:11 pm GMT+3","I give you my consent","Female","Health Sciences","2nd Year","3 - Fair","No","","Stress;Anxiety;Academic pressure","Very comfortable","Very comfortable","Very uncomfortable","Very comfortable","Lack of awareness about available resources","Exercise;Meditation or mindfulness","3 - Neutral","Meditation and mindfulness exercises;Connection to professional help when needed;Educational resources on mental health","Privacy","Increase awareness of the available resources ","It’s very paramount to have mentally stable students"
"2024/10/12 6:11:36 pm GMT+3","I give you my consent","Female","Business related","1st Year","3 - Fair","No","","Anxiety;Academic pressure;Financial concerns","Neutral","Very uncomfortable","Very uncomfortable","Neutral","Stigma surrounding mental health","Social support","3 - Neutral","Personalized coping strategies;Connection to professional help when needed;Trained A.I chat bot to communicate with","Privacy;Incorrect mental health information","",""
